age,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
18.0,3,3.0,0.0,1,3.0,2.0,17.0,300.63,53005.25,17,781,1.0,1.0,0.0,1.0,4,2
32.0,0,4.0,1.0,1,1.0,1.0,16.0,306.34,12838.38,10,842,1.0,0.0,1.0,2.0,5,1
44.0,1,2.0,2.0,1,1.0,2.0,14.0,516.16,21027.0,22,500,0.0,1.0,1.0,3.0,3,5
37.0,0,2.0,2.0,1,1.0,1.0,11.0,53.27,25239.56,6,567,0.0,1.0,1.0,4.0,3,5
31.0,0,2.0,0.0,0,2.0,1.0,20.0,113.13,24483.66,16,663,0.0,1.0,1.0,2.0,3,5
13.0,0,1.0,0.0,1,3.0,2.0,23.0,433.62,13884.77,24,722,1.0,0.0,1.0,4.0,0,3
21.0,1,1.0,2.0,1,1.0,1.0,10.0,55.38,8982.5,28,756,1.0,0.0,1.0,3.0,0,3
42.0,2,2.0,1.0,0,0.0,0.0,19.0,429.11,44554.82,24,568,0.0,1.0,1.0,4.0,2,5
44.0,3,5.0,0.0,2,2.0,0.0,15.0,191.07,18362.31,20,739,1.0,0.0,1.0,3.0,1,3
45.0,1,2.0,0.0,1,3.0,2.0,10.0,97.31,19244.16,28,706,0.0,1.0,1.0,0.0,1,4
25.0,3,0.0,2.0,1,0.0,2.0,14.0,570.23,35119.93,8,699,1.0,1.0,0.0,1.0,2,5
60.0,0,1.0,0.0,1,2.0,2.0,14.0,55.53,41672.02,33,798,1.0,0.0,0.0,1.0,7,3
11.0,1,2.0,0.0,0,2.0,0.0,13.0,41.09,44007.18,18,608,1.0,0.0,1.0,4.0,1,4
34.0,0,0.0,2.0,1,2.0,0.0,10.0,89.76,21318.19,6,662,0.0,1.0,0.0,1.0,2,4
40.0,0,4.0,0.0,2,3.0,0.0,20.0,100.59,14842.62,26,740,0.0,1.0,0.0,1.0,3,3
16.0,1,0.0,1.0,0,2.0,0.0,13.15,30.14,18792.31,7,141,1.0,0.0,1.0,4.0,7,5
57.0,0,2.0,0.0,2,3.0,2.0,5.0,333.34,47241.32,8,592,1.0,1.0,1.0,3.0,7,5
11.0,1,5.0,2.0,1,3.0,2.0,12.0,275.13,29072.86,26,733,1.0,0.0,0.0,1.0,1,3
39.0,1,2.0,0.0,0,2.0,0.0,9.0,241.74,33170.16,6,551,1.0,0.0,1.0,0.0,0,5
45.0,0,4.0,0.0,2,3.0,1.0,14.0,31.15,66982.61,8,164,1.0,0.0,1.0,4.0,4,2
33.0,3,2.0,0.0,2,1.0,2.0,15.0,49.86,44289.97,25,703,1.0,0.0,0.0,1.0,1,4
30.0,3,2.0,2.0,1,2.0,1.0,21.0,30.37,49404.86,23,630,1.0,0.0,1.0,0.0,3,5
19.0,1,3.0,0.0,1,3.0,1.0,15.0,483.03,52702.67,3,389,0.0,1.0,1.0,0.0,8,2
48.0,1,0.0,2.0,2,2.0,0.0,12.0,72.52,15860.41,3,529,0.0,1.0,0.0,1.0,0,4
43.0,0,2.0,0.0,0,1.0,0.0,17.0,108.3,21725.57,21,225,0.0,1.0,0.0,1.0,3,4
29.0,1,5.0,0.0,2,1.0,0.0,18.0,300.38,12069.06,7,777,0.0,1.0,0.0,1.0,7,3
10.0,0,1.0,2.0,0,3.0,2.0,1.0,100.65,8515.5,6,757,1.0,0.0,0.0,1.0,0,3
20.0,3,2.0,0.0,1,1.0,2.0,22.0,272.31,42743.44,12,687,1.0,0.0,0.0,1.0,2,5
61.0,3,5.0,1.0,1,3.0,0.0,17.0,170.15,29156.1,10,710,1.0,0.0,1.0,0.0,0,4
10.0,1,1.0,0.0,0,3.0,2.0,4.0,127.37,15719.24,10,634,1.0,0.0,1.0,4.0,3,4
17.0,0,2.0,1.0,2,1.0,0.0,20.0,162.93,31100.95,11,633,0.0,1.0,1.0,2.0,7,5
60.0,1,2.0,2.0,2,1.0,0.0,18.0,498.09,48125.94,27,616,0.0,1.0,0.0,1.0,2,5
11.0,2,1.0,2.0,2,1.0,2.0,10.0,185.53,60143.68,4,836,1.0,0.0,1.0,3.0,8,1
60.0,0,1.0,2.0,1,0.0,0.0,11.0,537.25,1773.49,6,711,1.0,1.0,0.0,1.0,2,3
12.0,0,4.0,0.0,0,1.0,2.0,8.0,198.26,26105.24,7,721,1.0,0.0,0.0,1.0,1,3
52.0,1,5.0,0.0,1,2.0,2.0,9.0,119.47,10101.48,28,158,1.0,0.0,0.0,1.0,3,4
30.0,0,0.0,2.0,1,2.0,1.0,15.0,68.19,21111.9,23,574,1.0,1.0,1.0,3.0,1,5
26.0,2,2.0,2.0,2,1.0,2.0,3.0,215.89,41979.65,9,599,0.0,1.0,0.0,1.0,7,5
26.0,1,2.0,2.0,2,1.0,2.0,20.0,194.85,5912.06,13,568,1.0,0.0,0.0,1.0,7,5
49.0,3,3.0,2.0,0,0.0,0.0,8.0,706.36,19062.25,16,780,1.0,0.0,0.0,1.0,2,3
24.0,0,4.0,1.0,2,1.0,0.0,15.0,210.44,35531.98,25,745,1.0,0.0,0.0,1.0,2,3
22.0,1,2.0,2.0,2,3.0,2.0,4.0,294.31,8415.63,17,650,0.0,1.0,1.0,3.0,7,5
33.0,1,4.0,1.0,0,1.0,2.0,12.0,394.26,34697.85,19,752,1.0,0.0,1.0,0.0,3,3
17.0,0,3.0,0.0,1,1.0,2.0,6.0,348.07,94100.72,4,824,1.0,1.0,0.0,1.0,8,1
36.0,3,5.0,2.0,1,3.0,1.0,2.0,691.09,17989.46,18,681,0.0,1.0,1.0,2.0,0,4
12.0,0,4.0,0.0,2,1.0,1.0,8.0,33.09,55607.35,11,825,1.0,0.0,0.0,1.0,8,1
